Frequency,Impedance
1000000.0,11.517354371179955
1084052.9735708372,13.487110339442708
1175170.849507772,14.323071446213396
1273947.4538626669,16.0487537931612
1381026.5255328182,18.316983405342228
1497105.9115840532,18.018971134545644
1622942.1152031685,21.06908172336146
1759355.2259193389,23.213088612444512
1907234.2642252475,23.311174422741725
2067542.9754295675,25.902304294865644
2241326.110499919,27.996208320460575
2429716.234829391,30.597771332313023
2633941.10930014,33.497668435946444
2855331.6917472803,33.43771543930068
3095330.8109696885,37.534957541211135
3355502.5698171146,38.567091872740825
3637542.5386348288,44.26904727592225
3943288.8054974983,50.86062037852359
4274733.955248149,49.075587861380086
4634038.055410982,53.835219234575426
5023542.7336086845,65.19972014594217
5445786.438228667,66.77971320526181
5903520.981793513,69.40363117415613
6399729.474851085,66.27328318349603
6937645.767261251,82.16532095845461
7520775.523580676,85.59423596505546
8152919.069896402,93.69651122685197
8838196.161003562,94.7463819438133
9581072.829338267,106.74319993925018
10386390.490642883,115.79984494445102
11259397.496049283,117.84943050144504
12205783.336208263,126.12901319577573
13231715.720377916,120.98814373928296
14343880.772119641,142.4415279269429
15549526.603561854,133.81008126666262
16856510.55221007,151.04435685145782
18273350.38815148,157.40738227999975
19809279.825377427,153.62938064143955
21474308.698997192,165.573321217172
23279288.200525958,171.53213601354102
25235981.596392617,206.620661383001
27357140.890548337,176.80046308481002
29656589.930795267,192.5929717888953
32149314.500449494,167.3329888641671
34851559.98247631,183.00707989648882
37780937.23258576,207.62731612964015
40956537.351277746,209.17712378366008
44399056.10281761,199.98090977351404
48130928.79199786,205.25824898662108
52176476.4776915,210.42744060744013
56562064.47609019,208.45252147564514
61316274.186611,186.7637200584521
66470089.360280275,203.36130199357143
72057098.02453111,186.53788628616908
78113711.38037808,195.1148045127051
84679401.098553,171.23186874987684
91796956.561084,171.91738478125757
99512763.72479588,205.25978908616042
107877107.4241169,177.50962926715437
116944499.0833348,182.37834874133412
126774031.97404088,178.78613452451296
137429766.33302313,156.83226001114204
148981146.85045934,161.25588269248593
161503455.2492337,156.82521838704344
175078300.90489605,130.35919472140714
189794152.70368198,126.92124944875864
205746915.6047836,132.0858412107607
223040555.66439417,119.89249708746503
241787777.59487787,113.70620138124063
262110759.27481106,105.34360287010374
284141947.99676937,100.1655519338869
308024923.6421074,93.88687960357314
333915334.4081559,88.18236379230744
361981911.1860627,80.02841202693033
392407567.20010513,79.04888029419249
425390590.0749712,70.6811260065251
461145934.0998266,62.92422097969071
499906621.1110173,61.81995633189033
541925259.123147,54.2322410841645
587475688.6055928,52.462515384196394
636854767.1334667,48.84910377759351
690384304.0437992,46.30967542556105
748413157.7053119,41.597588679132876
811319509.0699816,40.110866069270614
879513326.3233472,34.62580115770207
953439036.6960007,36.66795415615126
1033578422.848812,30.131321577510963
1120453762.707913,28.268726205976783
1214631233.212144,25.79410321809224
1316724600.1556349,23.919402704242625
1427399218.1725848,22.561637671654296
1547376366.9326754,20.032290567318242
1677437951.8066092,18.709432789452286
1818431599.6365256,18.394481841652944
1971276182.8211458,14.822230408266206
2136967807.7166367,15.028381226985905
2316586306.380368,14.302559276311571
2511302273.9651155,12.471593412564433
2722384697.6270943,12.060422119155069
2951209226.66639,11.264793694418849
